,Count,Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
0,0,2025,2020,0.2,840,-50,10,1,3,4.136103786216327,26.039878611892828,7.039277078287423,13.319355716690824,1.0667552547583332,2.491672535788334,225657601912.7062,397066273403.5236,91088511882.27885,257595272000.0,25604020000.0,49587682000
0,0,2025,2020,0.2,840,-52,10,1,3,3.960648532583865,25.65615598774785,6.935932466417489,13.001002842344155,1.0218392440316666,2.408846855928334,216098718189.76202,391225150467.32886,89730840474.43425,251403832000.0,24525956000.0,47939338000
0,0,2025,2020,0.2,840,-54,10,1,3,3.789687081116664,25.24297605369929,6.824782870807939,12.656894460638322,0.9544652279416667,2.346727596033334,206773826527.20355,384938960594.4166,88266964922.75514,244738696000.0,22908860000.0,46703080000
0,0,2025,2020,0.2,840,-56,10,1,3,3.6153239442214664,24.851581317246733,6.719068968589285,12.322460547636654,0.909549217215,2.270804056161667,197270128531.08292,378973174697.8356,86884475739.34294,238236872000.0,21830796000.0,45192098000
0,0,2025,2020,0.2,840,-58,10,1,3,3.4407727066247897,24.45850812183773,6.612988387004443,11.888272503951654,0.8590187051475001,2.19488051629,187774663710.12582,372984057630.5488,85496588500.90166,229856504000.0,20617974000.0,43681116000
0,0,2025,2020,0.2,840,-60,10,1,3,3.267486708330365,24.05394468226463,6.5041453337719615,11.373679266991653,0.802873691739167,2.139663396383334,178349974404.37567,366828664735.7438,84065953144.6762,219924216000.0,19270394000.0,42582220000
0,0,2025,2020,0.2,840,-62,10,1,3,3.0942367905006503,23.65016863282735,6.395287824426418,10.843004991376654,0.7523431796716669,2.0775441364883336,168922984991.046,360679370206.5108,82640446258.03677,209681544000.0,18057572000.0,41345962000
0,0,2025,2020,0.2,840,-64,10,1,3,2.9230961817663275,23.232637847733795,6.28332725771296,10.317232563891652,0.7018126676041668,1.9947184566283331,159590590219.34842,354336328396.7159,81161869955.89224,199463232000.0,16844750000.0,39697618000
0,0,2025,2020,0.2,840,-66,10,1,3,2.7517911276537643,22.815752667636794,6.170997018548197,9.786558288276654,0.6512821555366669,1.9187949167566665,150252400463.2881,347988986601.4863,79690596209.9666,189220560000.0,15631928000.0,38186636000
0,0,2025,2020,0.2,840,-68,10,1,3,2.5813783818619114,22.39164263347232,6.0566987107971,9.28163952002082,0.6007516434691669,1.8428713768849998,140959305834.64886,341531087610.1398,78193545044.73029,179451584000.0,14419106000.0,36675654000
0,0,2025,2020,0.2,840,-70,10,1,3,2.4108441382722887,21.966580913932443,5.942647696513301,8.759005763733322,0.5502211314016668,1.7669478370133331,131657054068.15445,335071791143.86566,76691391271.53546,169364104000.0,13206284000.0,35164672000
0,0,2025,2020,0.2,840,-72,10,1,3,2.242617758205223,21.52497916217291,5.8240111632495974,8.244412526773322,0.4940761179933335,1.7048285771183331,122477633623.72006,328357314840.8375,75131514705.42896,159431816000.0,11858704000.0,33928414000
0,0,2025,2020,0.2,840,-74,10,1,3,2.074477071692684,21.082048536010035,5.704803507744147,7.7073316812074895,0.4435456059258335,1.6427093172233331,113306991779.05432,321617067978.6823,73568583927.5952,149042072000.0,10645882000.0,32692156000
0,0,2025,2020,0.2,840,-76,10,1,3,1.9083552519288185,20.62445663962238,5.582092352692184,7.187965823673324,0.39301509385833344,1.5736879173399998,104243270434.44629,314665212060.25775,71951377424.8286,138970832000.0,9433060000.0,31318536000
0,0,2025,2020,0.2,840,-78,10,1,3,1.7418421016970937,20.165862137717042,5.459441481171953,6.69912809407249,0.34809908313166676,1.5115686574449998,95155554291.46837,307706679344.3702,70329503442.66174,129512240000.0,8354996000.0,30082278000
0,0,2025,2020,0.2,840,-80,10,1,3,1.5767287293827956,19.696368352496062,5.3342688380238155,6.465953033574991,0.29756857106416673,1.4356451175733331,86141211562.29851,300592985939.55914,68667914207.7458,125011672000.0,7142174000.0,28571296000
0,0,2025,2020,0.2,840,-82,10,1,3,1.4133640671180498,19.214259137898086,5.20546420586716,6.203883794520825,0.25265256033750005,1.3666237176899998,77220622672.62723,293281165226.8888,66963130575.1932,119906576000.0,6064110000.0,27197676000
0,0,2025,2020,0.2,840,-84,10,1,3,1.2488038356944091,18.736886009005524,5.077920195948498,5.978749253350824,0.21335105095166668,1.2837980378299998,68238661219.633026,286041050989.4792,65276663424.37182,115561200000.0,5120804000.0,25549332000
0,0,2025,2020,0.2,840,-86,10,1,3,1.0884525819324913,18.229977723993574,4.9427257906614726,5.707005545592492,0.1628205388841667,1.2423851978999998,59479470704.884544,278359247710.6859,63483255214.8432,110292792000.0,3907982000.0,24725160000
0,0,2025,2020,0.2,840,-88,10,1,3,0.9283873411487823,17.716798011771836,4.806804743210112,5.45938339581666,0.14036253352083336,1.1733637980166665,50734062690.91039,270606992908.4184,61664365410.43986,105489960000.0,3368950000.0,23351540000
0,0,2025,2020,0.2,840,-90,10,1,3,0.7697322348424216,17.190240664595763,4.667735800695097,5.187639688058327,0.12351902949833335,1.1250488180983331,42065108259.89646,262662926039.45804,59796069338.352745,100221552000.0,2964676000.0,22390006000
0,0,2025,2020,0.2,840,-50,10,1,5,4.153816446778006,27.622116849662074,7.466268642914901,13.319355716690824,1.0667552547583332,2.491672535788334,226615830886.3339,421173892640.1411,96632488365.13667,257595272000.0,25604020000.0,49587682000
0,0,2025,2020,0.2,840,-52,10,1,5,3.97843281334604,27.306883444926026,7.3813818750620985,13.001002842344155,1.0218392440316666,2.408846855928334,217061055148.73227,416375648332.49695,95514289765.11482,251403832000.0,24525956000.0,47939338000
0,0,2025,2020,0.2,840,-54,10,1,5,3.807826618154091,26.9603860834753,7.288209571372859,12.656894460638322,0.9544652279416667,2.346727596033334,207755607709.46518,411104992218.8812,94283279616.65945,244738696000.0,22908860000.0,46703080000
0,0,2025,2020,0.2,840,-56,10,1,5,3.6334493118778832,26.638345600753432,7.201148656056381,12.322460547636654,0.909549217215,2.270804056161667,198251422587.73325,406194269490.93335,93143342040.11864,238236872000.0,21830796000.0,45192098000
0,0,2025,2020,0.2,840,-58,10,1,5,3.458755120580096,26.31556651132544,7.113976069304248,11.888272503951654,0.8590187051475001,2.19488051629,188748649090.0627,401274571277.2206,92001330381.78677,229856504000.0,20617974000.0,43681116000
0,0,2025,2020,0.2,840,-60,10,1,5,3.285429578602831,25.980527738612118,7.023852661037319,11.373679266991653,0.802873691739167,2.139663396383334,179322216414.5026,396177375261.1598,90813611026.5193,219924216000.0,19270394000.0,42582220000
0,0,2025,2020,0.2,840,-62,10,1,5,3.111975404237292,25.64761641727247,6.934049361023776,10.843004991376654,0.7523431796716669,2.0775441364883336,169884876275.04953,391105991685.7327,89635902335.89043,209681544000.0,18057572000.0,41345962000
0,0,2025,2020,0.2,840,-64,10,1,5,2.940639398822049,25.30095729878635,6.84120054141599,10.317232563891652,0.7018126676041668,1.9947184566283331,160542290485.6871,385842413365.66644,88404578589.22083,199463232000.0,16844750000.0,39697618000
0,0,2025,2020,0.2,840,-66,10,1,5,2.7690154945596306,24.955930043877,6.748183287234368,9.786558288276654,0.6512821555366669,1.9187949167566665,151187204631.44748,380587874750.77136,87184503941.72952,189220560000.0,15631928000.0,38186636000
0,0,2025,2020,0.2,840,-68,10,1,5,2.598269833062811,24.603900764091538,6.653238564160084,9.28163952002082,0.6007516434691669,1.8428713768849998,141876546306.78973,375225666333.70575,85939340195.76566,179451584000.0,14419106000.0,36675654000
0,0,2025,2020,0.2,840,-70,10,1,5,2.4272703539758003,24.251629048350203,6.5587879721106255,8.759005763733322,0.5502211314016668,1.7669478370133331,132549757429.15068,369874307698.76556,84691326258.44206,169364104000.0,13206284000.0,35164672000
0,0,2025,2020,0.2,840,-72,10,1,5,2.258687547770046,23.88228881659607,6.459584900698442,8.244412526773322,0.4940761179933335,1.7048285771183331,123351338656.08646,364259084383.6057,83383677606.37042,159431816000.0,11858704000.0,33928414000
0,0,2025,2020,0.2,840,-74,10,1,5,2.0899931593551058,23.51325031781074,6.360204549016312,7.7073316812074895,0.4435456059258335,1.6427093172233331,114151232195.30551,358641734226.98047,82078865754.11424,149042072000.0,10645882000.0,32692156000
0,0,2025,2020,0.2,840,-76,10,1,5,1.923271681745327,23.130456007647997,6.257576604063267,7.187965823673324,0.39301509385833344,1.5736879173399998,105055392825.80157,352826871257.91437,80722752995.35078,138970832000.0,9433060000.0,31318536000
0,0,2025,2020,0.2,840,-78,10,1,5,1.755937862418916,22.74782975481203,6.155345346039358,6.69912809407249,0.34809908313166676,1.5115686574449998,95923611142.13191,347023700533.4704,79366043869.32645,129512240000.0,8354996000.0,30082278000
0,0,2025,2020,0.2,840,-80,10,1,5,1.5900634010438899,22.35376568967308,6.050560275631529,6.465953033574991,0.29756857106416673,1.4356451175733331,86868294522.20052,341060108429.5689,77967021900.37599,125011672000.0,7142174000.0,28571296000
0,0,2025,2020,0.2,840,-82,10,1,5,1.4259323198825646,21.947689336378293,5.942220589107378,6.203883794520825,0.25265256033750005,1.3666237176899998,77906234464.63492,334905359209.3544,76527158480.49828,119906576000.0,6064110000.0,27197676000
0,0,2025,2020,0.2,840,-84,10,1,5,1.2601996552898722,21.548609272964597,5.83575799087122,5.978749253350824,0.21335105095166668,1.2837980378299998,68861262477.04182,328856923175.6339,75113754829.1004,115561200000.0,5120804000.0,25549332000
0,0,2025,2020,0.2,840,-86,10,1,5,1.0989848275506984,21.118464630348008,5.7212393705236675,5.707005545592492,0.1628205388841667,1.2423851978999998,60054853165.63216,322343680040.55695,73587520673.7318,110292792000.0,3907982000.0,24725160000
0,0,2025,2020,0.2,840,-88,10,1,5,0.9379368516013398,20.68216279267494,5.606264962724288,5.45938339581666,0.14036253352083336,1.1733637980166665,51255708398.611404,315767964511.37756,72034923424.3155,105489960000.0,3368950000.0,23351540000
0,0,2025,2020,0.2,840,-90,10,1,5,0.7783530565181158,20.23159621171157,5.4880341818400975,5.187639688058327,0.12351902949833335,1.1250488180983331,42536010417.98571,308990323416.9689,70428962040.19083,100221552000.0,2964676000.0,22390006000
0,0,2025,2020,0.2,840,-50,10,1,7,4.1819276898574484,29.093573656576034,7.862125461186236,13.319355716690824,1.0667552547583332,2.491672535788334,228132172009.82242,443561406977.23376,101798503083.31,257595272000.0,25604020000.0,49587682000
0,0,2025,2020,0.2,840,-52,10,1,7,4.006861533544515,28.84389628640366,7.794840356596796,13.001002842344155,1.0218392440316666,2.408846855928334,218594882163.93454,439759670672.49915,100909989428.66222,251403832000.0,24525956000.0,47939338000
0,0,2025,2020,0.2,840,-54,10,1,7,3.8368809409609215,28.560902564736416,7.7187199644927205,12.656894460638322,0.9544652279416667,2.346727596033334,209323425708.2903,435454358504.7709,99901186542.2558,244738696000.0,22908860000.0,46703080000
0,0,2025,2020,0.2,840,-56,10,1,7,3.6627020268689376,28.30555549703922,7.649525165138286,12.322460547636654,0.909549217215,2.270804056161667,199830381739.94623,431556369068.84015,98994989171.64708,238236872000.0,21830796000.0,45192098000
0,0,2025,2020,0.2,840,-58,10,1,7,3.488064600485616,28.05061440768999,7.58052525275696,11.888272503951654,0.8590187051475001,2.19488051629,190331308502.24005,427666783059.4045,98090762472.23148,229856504000.0,20617974000.0,43681116000
0,0,2025,2020,0.2,840,-60,10,1,7,3.314869541559233,27.782766046056985,7.50842022650249,11.373679266991653,0.802873691739167,2.139663396383334,180912448149.58615,423590364353.60345,97138299392.30931,219924216000.0,19270394000.0,42582220000
0,0,2025,2020,0.2,840,-62,10,1,7,3.14137419707158,27.518583240050866,7.4370183817654345,10.843004991376654,0.7523431796716669,2.0775441364883336,171473833936.90833,419562361330.984,96201430334.51729,209681544000.0,18057572000.0,41345962000
0,0,2025,2020,0.2,840,-64,10,1,7,2.970021627005038,27.240457785645617,7.3625754134453985,10.317232563891652,0.7018126676041668,1.9947184566283331,162130980487.45615,415340675711.0195,95209678414.6389,199463232000.0,16844750000.0,39697618000
0,0,2025,2020,0.2,840,-66,10,1,7,2.798161672882077,26.965825969912324,7.288395439573756,9.786558288276654,0.6512821555366669,1.9187949167566665,152763715573.01477,411154551166.387,94236219314.16335,189220560000.0,15631928000.0,38186636000
0,0,2025,2020,0.2,840,-68,10,1,7,2.627158385277191,26.68438985257166,7.212320865491716,9.28163952002082,0.6007516434691669,1.8428713768849998,143439835587.9796,406863236847.3272,93238286655.53842,179451584000.0,14419106000.0,36675654000
0,0,2025,2020,0.2,840,-70,10,1,7,2.455705925553666,26.404017390340346,7.137147506801958,8.759005763733322,0.5502211314016668,1.7669478370133331,134089496807.68806,402604091969.6423,92241836936.27849,169364104000.0,13206284000.0,35164672000
0,0,2025,2020,0.2,840,-72,10,1,7,2.2868014607657017,26.105757573391735,7.0569753159360396,8.244412526773322,0.4940761179933335,1.7048285771183331,124874187004.91183,398067946685.9471,91182831492.62276,159431816000.0,11858704000.0,33928414000
0,0,2025,2020,0.2,840,-74,10,1,7,2.117514179029466,25.81012245335543,6.977199383720564,7.7073316812074895,0.4435456059258335,1.6427093172233331,115642875085.98627,393563681561.8581,90135003877.4263,149042072000.0,10645882000.0,32692156000
0,0,2025,2020,0.2,840,-76,10,1,7,1.9502103137027418,25.501390116581593,6.8943519867950815,7.187965823673324,0.39301509385833344,1.5736879173399998,106516285234.49449,388871896563.18164,89038024454.69405,138970832000.0,9433060000.0,31318536000
0,0,2025,2020,0.2,840,-78,10,1,7,1.7819647782747934,25.194918407682017,6.812481025693202,6.69912809407249,0.34809908313166676,1.5115686574449998,97336033047.5775,384224077869.31836,87947798737.32944,129512240000.0,8354996000.0,30082278000
0,0,2025,2020,0.2,840,-80,10,1,7,1.6151905874676356,24.876799625650666,6.728107832514295,6.465953033574991,0.29756857106416673,1.4356451175733331,88232599581.85555,379415457849.2887,86813883044.31377,125011672000.0,7142174000.0,28571296000
0,0,2025,2020,0.2,840,-82,10,1,7,1.45007786355061,24.548042219618317,6.640439472761728,6.203883794520825,0.25265256033750005,1.3666237176899998,79217758567.75046,374433718741.13617,85644307570.07158,119906576000.0,6064110000.0,27197676000
0,0,2025,2020,0.2,840,-84,10,1,7,1.2828155895192306,24.229709214719005,6.555589127976437,5.978749253350824,0.21335105095166668,1.2837980378299998,70091029623.71913,369610935505.2629,84513383022.30086,115561200000.0,5120804000.0,25549332000
0,0,2025,2020,0.2,840,-86,10,1,7,1.1204200755534417,23.878659592313564,6.462207409254191,5.707005545592492,0.1628205388841667,1.2423851978999998,61220511356.191284,364297406687.1242,83263494088.00685,110292792000.0,3907982000.0,24725160000
0,0,2025,2020,0.2,840,-88,10,1,7,0.9575273268782223,23.526435344929933,6.3698286075173405,5.45938339581666,0.14036253352083336,1.1733637980166665,52320904896.408325,359000287029.4093,82004473930.10059,105489960000.0,3368950000.0,23351540000
0,0,2025,2020,0.2,840,-90,10,1,7,0.7958082347006997,23.16219912900667,6.274863557186159,5.187639688058327,0.12351902949833335,1.1250488180983331,43484840184.07155,353537182088.009,80699634397.52469,100221552000.0,2964676000.0,22390006000
0,0,2025,2020,0.2,840,-50,10,1,9,4.223287368661997,30.44356066552727,8.224471408398689,13.319355716690824,1.0667552547583332,2.491672535788334,230368537790.15958,464079175490.70325,106544681542.62045,257595272000.0,25604020000.0,49587682000
0,0,2025,2020,0.2,840,-52,10,1,9,4.048954298472413,30.255499116638383,8.17368253989394,13.001002842344155,1.0218392440316666,2.408846855928334,220871397581.8416,461212818289.9658,105872343726.73015,251403832000.0,24525956000.0,47939338000
0,0,2025,2020,0.2,840,-54,10,1,9,3.879977204511741,30.032369898696892,8.113587418448954,12.656894460638322,0.9544652279416667,2.346727596033334,211654454907.72705,457816244457.40607,105073291505.49826,244738696000.0,22908860000.0,46703080000
0,0,2025,2020,0.2,840,-56,10,1,9,3.70635154277383,29.840267574480006,8.061280910457107,12.322460547636654,0.909549217215,2.270804056161667,202191917941.89984,454877217548.6037,104389068950.90253,238236872000.0,21830796000.0,45192098000
0,0,2025,2020,0.2,840,-58,10,1,9,3.532139013349688,29.649637012035516,8.009452637803935,11.888272503951654,0.8590187051475001,2.19488051629,192716680603.9826,451962721792.7599,103710589752.36526,229856504000.0,20617974000.0,43681116000
0,0,2025,2020,0.2,840,-60,10,1,9,3.359392342815509,29.445812066378867,7.95446169261087,11.373679266991653,0.802873691739167,2.139663396383334,183322747789.29874,448857536620.5675,102982609386.7464,219924216000.0,19270394000.0,42582220000
0,0,2025,2020,0.2,840,-62,10,1,9,3.186150605205691,29.247431225667068,7.900617929360868,10.843004991376654,0.7523431796716669,2.0775441364883336,173899021026.43054,445826930948.6213,102276662786.96602,209681544000.0,18057572000.0,41345962000
0,0,2025,2020,0.2,840,-64,10,1,9,3.0150882288288665,29.034780507391577,7.843703085911946,10.317232563891652,0.7018126676041668,1.9947184566283331,164572702213.44034,442599173513.4211,101514079237.76347,199463232000.0,16844750000.0,39697618000
0,0,2025,2020,0.2,840,-66,10,1,9,2.843228186500475,28.828094902535724,7.787640848403882,9.786558288276654,0.6512821555366669,1.9187949167566665,155206209366.58826,439442622992.315,100779004146.93648,189220560000.0,15631928000.0,38186636000
0,0,2025,2020,0.2,840,-68,10,1,9,2.672212261511792,28.614693532929667,7.729685357993256,9.28163952002082,0.6007516434691669,1.8428713768849998,145882576063.11777,436181645685.2422,100019693202.25621,179451584000.0,14419106000.0,36675654000
0,0,2025,2020,0.2,840,-70,10,1,9,2.500481412972213,28.404245551701802,7.673195299833189,8.759005763733322,0.5502211314016668,1.7669478370133331,136518354924.21408,432983040406.7495,99268239759.12138,169364104000.0,13206284000.0,35164672000
0,0,2025,2020,0.2,840,-72,10,1,9,2.331421256011445,28.17513125081236,7.611468126175619,8.244412526773322,0.4940761179933335,1.7048285771183331,127295290839.7078,429494836584.7472,98451452706.13826,159431816000.0,11858704000.0,33928414000
0,0,2025,2020,0.2,840,-74,10,1,9,2.161672328375407,27.951275242868668,7.5507877676398465,7.7073316812074895,0.4435456059258335,1.6427093172233331,118040111762.30751,426077075802.88654,97655296516.94122,149042072000.0,10645882000.0,32692156000
0,0,2025,2020,0.2,840,-76,10,1,9,1.9939009484669783,27.715226363153576,7.487271188384046,7.187965823673324,0.39301509385833344,1.5736879173399998,108889220431.51483,422485345190.4487,96813012136.13348,138970832000.0,9433060000.0,31318536000
0,0,2025,2020,0.2,840,-78,10,1,9,1.8248163637661288,27.48385610020241,7.425396121291515,6.69912809407249,0.34809908313166676,1.5115686574449998,99664716836.59692,418974748384.00146,95985992934.93544,129512240000.0,8354996000.0,30082278000
0,0,2025,2020,0.2,840,-80,10,1,9,1.6571206122785551,27.241366872648257,7.361269663560991,6.465953033574991,0.29756857106416673,1.4356451175733331,90512155622.74258,415314212193.43976,95116493799.9773,125011672000.0,7142174000.0,28571296000
0,0,2025,2020,0.2,840,-82,10,1,9,1.4909664830715081,26.990010852632135,7.294197542937956,6.203883794520825,0.25265256033750005,1.3666237176899998,81441452576.03735,411504209396.28107,94217981996.13858,119906576000.0,6064110000.0,27197676000
0,0,2025,2020,0.2,840,-84,10,1,9,1.3220467616633695,26.753002346334178,7.23102098474971,5.978749253350824,0.21335105095166668,1.2837980378299998,72226350628.36697,407913426132.46075,93372042599.54123,115561200000.0,5120804000.0,25549332000
0,0,2025,2020,0.2,840,-86,10,1,9,1.1583299038768327,26.48186963218209,7.158884512824547,5.707005545592492,0.1628205388841667,1.2423851978999998,63284202058.51577,403809185420.8413,92401922412.64328,110292792000.0,3907982000.0,24725160000
0,0,2025,2020,0.2,840,-88,10,1,9,0.9931450051020914,26.217185515317656,7.08987854350399,5.45938339581666,0.14036253352083336,1.1733637980166665,54259827267.28359,399839332606.4559,91449549404.977,105489960000.0,3368950000.0,23351540000
0,0,2025,2020,0.2,840,-90,10,1,9,0.8286577426348427,25.944368965697013,7.019369802445688,5.187639688058327,0.12351902949833335,1.1250488180983331,45272926092.760086,395763553984.113,90464781703.5272,100221552000.0,2964676000.0,22390006000
0,0,2025,2020,0.2,840,-50,10,1,11,4.285013646817865,31.62143308103236,8.540159743780784,13.319355716690824,1.0667552547583332,2.491672535788334,233715691001.08112,481969083326.2112,110691463873.79814,257595272000.0,25604020000.0,49587682000
0,0,2025,2020,0.2,840,-52,10,1,11,4.112110203953869,31.4891276078132,8.504273799461634,13.001002842344155,1.0218392440316666,2.408846855928334,224296651731.6206,479948512706.0102,110215076531.51262,251403832000.0,24525956000.0,47939338000
0,0,2025,2020,0.2,840,-54,10,1,11,3.944812014598444,31.320173460849325,8.45865295419542,12.656894460638322,0.9544652279416667,2.346727596033334,215171027463.58078,477373584924.0324,109606163375.74915,244738696000.0,22908860000.0,46703080000
0,0,2025,2020,0.2,840,-56,10,1,11,3.7724352429477,31.185449853980558,8.42163260051655,12.322460547636654,0.909549217215,2.270804056161667,205776973823.31467,475303647001.2611,109123693826.70256,238236872000.0,21830796000.0,45192098000
0,0,2025,2020,0.2,840,-58,10,1,11,3.599299335460244,31.05365575734062,8.385480909117224,11.888272503951654,0.8590187051475001,2.19488051629,196361176071.74692,473280373902.6348,108652136222.58907,229856504000.0,20617974000.0,43681116000
